DATA,GRUPO,TIPO,ETAPA,TOTAL_IMPRESSOES,TOTAL_CLIQUES,TOTAL_CUSTO,TOTAL_SESSAO,TOTAL_INSCRICOES,TOTAL_MATRICULADOS,LEADS,CTR,CR,CPS,TX_LEADS,TX_INSCRITOS,CPI,TX_MATRICULADOS,CPMAT,CPA
2025-01-27,SEARCH,MARCAS,FUNDO,128291,45359,81722.37677099998,42501,1651,12,7331,0.3535633832459019,0.9369915562512401,1.9228342102774048,0.17249005905743395,0.03884614479659302,49.49871397395517,0.0072683222289521504,6810.198064249998,9.098461007682028
2025-01-27,SEARCH,CURSOS,FUNDO,373522,21268,108741.74609100001,20242,487,51,2219,0.05693908257077227,0.951758510438217,5.372085075140797,0.1096235549846853,0.02405888746171327,223.2890063470226,0.10472279260780287,2132.1910998235294,40.18541984146342
2025-01-27,TIKTOK,TIKTOK,TOPO,2254751,4934,8573.73,1521,0,0,1,0.0021882682389319265,0.30826915281718686,5.636903353057199,0.0006574621959237344,0.0,,,,3.8025174398414725e-06
2025-01-27,META,META,MEIO,6887088,138500,61201.01000000001,83419,1,0,8,0.020110095877967582,0.6023032490974729,0.7336579196585911,9.59014133470792e-05,1.19876766683849e-05,61201.01000000001,0.0,,0.44188454873646216
2025-01-27,PMAX,PMAX,FUNDO,8717060,292048,530328.17508,145516,1207,7,5551,0.03350303886860937,0.4982605599079603,3.64446641661398,0.03814700788916683,0.008294620522829105,439.37711274233635,0.00579950289975145,75761.16786857143,78.47413067179639
2025-01-27,META,META,FUNDO,18753360,92030,307092.97000400006,37857,678,10,3137,0.0049073872628691605,0.4113549929370857,8.111920384710887,0.08286446363948544,0.01790950154528885,452.939483781711,0.014749262536873156,30709.297000400005,80.49619135098298
2025-01-27,TIKTOK,TIKTOK,FUNDO,1693197,7828,10013.670000000004,5599,12,2,58,0.004623206868427005,0.7152529381706694,1.7884747276299346,0.010358992677263796,0.0021432398642614752,834.4725000000003,0.16666666666666666,5006.835000000002,143.05242857142863
2025-01-27,TIKTOK,TIKTOK,MEIO,532058,4375,1767.7399999999993,1091,0,0,2,0.008222787741186111,0.24937142857142858,1.620293308890925,0.0018331805682859762,0.0,,,,0.404054857142857
2025-01-27,SEARCH,MICROSOFT,FUNDO,309313,10898,50638.55000000002,8980,253,8,1390,0.03523291940526263,0.8240044044778858,5.639036748329623,0.15478841870824053,0.028173719376391983,200.15237154150205,0.03162055335968379,6329.818750000002,30.82078514911748
2025-01-27,SEARCH,DV360,TOPO,13382347,15019,64491.961684000016,903,5,1,28,0.0011222993993505025,0.060123843132032756,71.41966963898119,0.031007751937984496,0.005537098560354375,12898.392336800003,0.2,64491.961684000016,4.8191816939136325e-06
2025-01-27,SEARCH,SEARCH,MEIO,98688,5951,10671.223282,3744,18,1,119,0.06030115110246433,0.6291379600067215,2.8502198936965812,0.03178418803418803,0.004807692307692308,592.845737888889,0.05555555555555555,10671.223282,1.793181529490842
2025-01-27,SEARCH,SEARCH,FUNDO,20979,1088,3416.907007,835,13,1,89,0.05186138519471853,0.7674632352941176,4.0921042,0.10658682634730539,0.015568862275449102,262.8390005384615,0.07692307692307693,3416.907007,33.49908830392157
2025-01-27,DEMAND GEN,DEMAND GEN,MEIO,998677,27781,1459.470066,7078,1,0,11,0.027817802953307224,0.2547784457002988,0.20619808787793162,0.0015541113308844307,0.00014128284826222097,1459.470066,0.0,,0.05253482833591304
2025-01-27,DEMAND GEN,DEMAND GEN,FUNDO,550464,8341,10688.291949,1306,4,1,42,0.015152671201023137,0.15657595012588418,8.183990772588055,0.03215926493108729,0.0030627871362940277,2672.07298725,0.25,10688.291949,232.35417280434783
